ณัฐกานต์|50|2040|2040|0|65|1755493638
เอิร์น|50|2000|2000|0|59|1755493476
นก|50|1720|1770|48|99|1755493201
เบล|40|1690|1730|38|92|1755492454
Somporn|40|1610|1650|50|108|1755489907
ลูกพลับ|50|1600|1600|0|95|1755493303
Kie|40|1460|1500|53|95|1755491479
Bowling|40|1330|1370|47|117|1755490220
ซิ้มศรี|40|1310|1350|41|120|1755489785
วนิดา กลิ่|50|1340|1340|0|120|1755493860sc|0|0|0|7|0|1755497154
